epoch,age_accuracy,age_loss,emotions_accuracy,emotions_loss,ethinicity_accuracy,ethinicity_loss,loss,val_age_accuracy,val_age_loss,val_emotions_accuracy,val_emotions_loss,val_ethinicity_accuracy,val_ethinicity_loss,val_loss
21,0.89772725,0.3165453,0.94602275,0.16350612,0.9431818,0.21003395,1.2645117423751138,0.625,1.104372,0.625,0.87897193,0.6875,0.990767,3.5474777221679688
22,0.91477275,0.28913653,0.9573864,0.13984443,0.96022725,0.1722683,1.173664011738517,0.8125,0.9863883,0.6875,0.7330668,0.8125,0.7716566,3.0625057220458984
23,0.9119318,0.27282634,0.96590906,0.14022063,0.9630682,0.17141952,1.1548959639939396,0.6875,1.05223,0.6875,0.76942545,0.8125,0.79326344,3.1842973232269287
24,0.92897725,0.27371147,0.96590906,0.13063613,0.96022725,0.16750212,1.140763995322314,0.6875,1.0799557,0.6875,0.81786156,0.75,0.86152595,3.3277461528778076
25,0.92045456,0.26426995,0.96022725,0.13591082,0.9573864,0.1676313,1.1357333226637407,0.75,1.0495315,0.6875,0.77487874,0.8125,0.7865802,3.178378105163574
26,0.94034094,0.25685918,0.9573864,0.12738478,0.96022725,0.16845153,1.119586085731333,0.6875,1.2107832,0.6875,0.9138644,0.6875,0.9276693,3.618666887283325
27,0.92045456,0.26045835,0.9630682,0.13957639,0.97159094,0.15762025,1.1236100684512744,0.6875,1.0979283,0.6875,0.79949665,0.8125,0.8313879,3.294337272644043
28,0.9318182,0.2652117,0.9431818,0.1396264,0.9744318,0.14090338,1.1108684702353044,0.6875,1.1499293,0.6875,0.914146,0.75,0.8666128,3.4953718185424805
29,0.92329544,0.26716456,0.9573864,0.13000251,0.9573864,0.17244066,1.1338725875724445,0.75,1.0800943,0.6875,0.85475063,0.75,0.7889473,3.2875874042510986
30,0.95170456,0.23563008,0.96022725,0.12593716,0.96875,0.14982526,1.0747490985827013,0.6875,1.1495373,0.6875,0.881872,0.75,0.8845986,3.4788942337036133
31,0.9318182,0.24890113,0.95454544,0.1284729,0.95170456,0.16611592,1.1059543788433075,0.6875,1.1293857,0.6875,0.8402585,0.75,0.9155582,3.4471988677978516
32,0.92897725,0.24242182,0.9630682,0.11759522,0.9488636,0.16352476,1.0851028073917737,0.6875,1.089947,0.6875,0.8269882,0.75,0.78103185,3.2590458393096924
33,0.9488636,0.23339935,0.9630682,0.12502943,0.95170456,0.1562155,1.0752925032919103,0.6875,1.1584604,0.6875,0.8531425,0.75,0.8321669,3.403945207595825
34,0.95454544,0.22050758,0.9630682,0.12691107,0.96590906,0.15618244,1.0633133893663234,0.75,1.0663524,0.6875,0.7607219,0.875,0.74017215,3.1264522075653076
35,0.9375,0.24789305,0.96590906,0.118433595,0.9744318,0.14409915,1.0691827671094374,0.75,1.1076562,0.6875,0.7695567,0.8125,0.7754031,3.210893392562866
36,0.9488636,0.21818759,0.95170456,0.12975621,0.96875,0.14408006,1.0498438450423153,0.6875,1.198002,0.6875,0.85968804,0.75,0.84429544,3.459287166595459
37,0.9375,0.22231117,0.96022725,0.11928263,0.96875,0.1543332,1.0527584552764893,0.75,1.0843498,0.6875,0.76536775,0.8125,0.7670508,3.17309308052063
38,0.94602275,0.22446738,0.9573864,0.11789438,0.95454544,0.14438696,1.0426072424108332,0.6875,1.1406826,0.6875,0.83515257,0.8125,0.79217076,3.323357582092285
39,0.92897725,0.22764526,0.96590906,0.12040064,0.9744318,0.14106105,1.0440014384009622,0.6875,1.1512083,0.6875,0.80657244,0.8125,0.8255458,3.337707996368408
40,0.94602275,0.20530796,0.9573864,0.12867822,0.97727275,0.14731005,1.0352050364017487,0.6875,1.1909444,0.6875,0.87932277,0.8125,0.8386924,3.4623398780822754
41,0.95454544,0.20130043,0.9573864,0.13200286,0.96590906,0.13190593,1.0181000341068616,0.6875,1.2541009,0.6875,0.8981656,0.75,0.91488004,3.6195127964019775
42,0.95170456,0.19066048,0.96875,0.12145918,0.9801136,0.12692557,0.9909400072964755,0.6875,1.224184,0.6875,0.9103277,0.75,0.85977745,3.5456631183624268
43,0.94602275,0.21143883,0.9744318,0.11267555,0.9801136,0.12629633,1.0013144991614602,0.6875,1.158968,0.6875,0.87341356,0.8125,0.7937229,3.3764829635620117
44,0.95454544,0.18516168,0.9744318,0.10921452,0.96590906,0.13976574,0.9840311082926664,0.6875,1.261107,0.6875,0.90678537,0.75,0.8747741,3.5920028686523438
45,0.9488636,0.1934392,0.97727275,0.121104985,0.96875,0.14220129,1.0056009265509518,0.6875,1.1952517,0.6875,0.87193954,0.8125,0.8376241,3.4531445503234863
46,0.94034094,0.21029286,0.96022725,0.12503374,0.97727275,0.12843204,1.0115950270132585,0.6875,1.1720861,0.6875,0.99498236,0.8125,0.7780557,3.49241304397583
47,0.9744318,0.18703729,0.96590906,0.1056884,0.97159094,0.1413367,0.9808502684939991,0.6875,1.2455084,0.6875,0.92561424,0.75,0.8436929,3.5610485076904297
48,0.9573864,0.19418082,0.9630682,0.105461486,0.98295456,0.12967071,0.9750528037548065,0.6875,1.2170928,0.6875,0.8930898,0.8125,0.81869185,3.474076271057129
49,0.96875,0.18607639,0.9630682,0.109367855,0.9801136,0.1236515,0.9637971818447113,0.6875,1.2878702,0.6875,0.96689165,0.75,0.9265705,3.725475788116455
